zip,name,latitude,longitude
1000,"Bruxelles",50.8504,4.3488
1020,"Laeken",50.8759,4.3484
1030,"Schaerbeek",50.8694,4.3774
1040,"Etterbeek",50.8327,4.3884
1050,"Ixelles",50.8333,4.3667
1060,"Saint-Gilles",50.8276,4.3439
1070,"Anderlecht",50.8362,4.3145
1080,"Molenbeek-Saint-Jean",50.8499,4.3125
1081,"Koekelberg",50.8612,4.3314
1082,"Berchem-Sainte-Agathe",50.8657,4.2956
1083,"Ganshoren",50.8707,4.3153
1090,"Jette",50.8731,4.3342
1120,"Neder-Over-Heembeek",50.9057,4.3922
1130,"Haren",50.8956,4.417
1140,"Evere",50.8744,4.399
1150,"Woluwe-Saint-Pierre",50.8551,4.3707
1160,"Auderghem",50.8167,4.4333
1170,"Watermael-Boitsfort",50.8015,4.4144
1180,"Uccle",50.8022,4.3394
1190,"Forest",50.8168,4.3278
1200,"Woluwe-Saint-Lambert",50.8439,4.4291
1210,"Saint-Josse-Ten-Noode",50.8538,4.3728
2000,"Antwerpen",51.2199,4.4035
2018,"Antwerpen",51.2199,4.4035
2020,"Antwerpen",51.2199,4.4035
2030,"Antwerpen",51.2199,4.4035
2040,"Zandvliet",51.3593,4.31
2050,"Antwerpen",51.2199,4.4035
2060,"Antwerpen",51.2199,4.4035
2070,"Zwijndrecht",51.2198,4.3266
2100,"Deurne",51.2213,4.4659
2110,"Wijnegem",51.2279,4.5189
2140,"Borgerhout",51.2096,4.4354
2150,"Borsbeek",51.1966,4.4854
2160,"Wommelgem",51.2045,4.5225
2170,"Merksem",51.2462,4.449
2180,"Ekeren",51.2809,4.4181
2200,"Noorderwijk",51.1412,4.8406
2220,"Hallaar",51.0842,4.7292
2221,"Booischot",51.0522,4.7751
2222,"Wiekevorst",51.108,4.7924
2223,"Schriek",51.0284,4.6936
2230,"Herselt",51.0516,4.8823
2235,"Houtvenne",51.0418,4.8086
2240,"Viersel",51.1877,4.6492
2242,"Pulderbos",51.2171,4.6936
2243,"Pulle",51.2032,4.7143
2250,"Olen",51.1439,4.8598
2260,"Westerlo",51.0905,4.9154
2270,"Herenthout",51.1401,4.7557
2275,"Lille",51.242,4.8231
2280,"Grobbendonk",51.1904,4.7356
2288,"Bouwel",51.1729,4.7418
2290,"Vorselaar",51.2024,4.7726
2300,"Turnhout",51.3225,4.9447
2310,"Rijkevorsel",51.348,4.7605
2320,"Hoogstraten",51.4003,4.7603
2321,"Meer",51.422,4.7803
2322,"Minderhout",51.4171,4.7629
2323,"Wortel",51.3983,4.7946
2328,"Meerle",51.4723,4.8032
2330,"Merksplas",51.3585,4.8651
2340,"Beerse",51.3193,4.853
2350,"Vosselaar",51.3086,4.8896
2360,"Oud-Turnhout",51.3198,4.9841
2370,"Arendonk",51.3227,5.0829
2380,"Ravels",51.3727,4.9921
2381,"Weelde",51.4078,4.9925
2382,"Poppel",51.4457,5.0433
2387,"Baarle-Hertog",51.405,4.8923
2390,"Westmalle",51.2977,4.6901
2400,"Mol",51.1919,5.1166
2430,"Eindhout",51.1038,4.9999
2431,"Varendonk",51.0841,4.9514
2440,"Geel",51.1656,4.9892
2450,"Meerhout",51.1321,5.0784
2460,"Kasterlee",51.2412,4.9665
2470,"Retie",51.2665,5.0824
2480,"Dessel",51.2385,5.1145
2490,"Balen",51.1684,5.1703
2491,"Olmen",51.1423,5.15
2500,"Lier",51.1313,4.5704
2520,"Emblem",51.1624,4.6049
2530,"Boechout",51.1596,4.4919
2531,"Vremde",51.1753,4.5232
2540,"Hove",51.1545,4.4707
2547,"Lint",51.1271,4.4967
2550,"Waarloos",51.106,4.4548
2560,"Nijlen",51.161,4.6701
2570,"Duffel",51.0955,4.509
2580,"Putte",51.0534,4.6326
2590,"Gestel",51.1287,4.673
2600,"Berchem",51.1902,4.4326
2610,"Wilrijk",51.1673,4.3951
2620,"Hemiksem",51.1448,4.3387
2627,"Schelle",51.1262,4.3411
2630,"Aartselaar",51.1341,4.3868
2640,"Mortsel",51.167,4.4513
2650,"Edegem",51.1566,4.445
2660,"Hoboken",51.1761,4.3484
2800,"Mechelen",51.0257,4.4776
2801,"Heffen",51.0472,4.416
2811,"Leest",51.0332,4.4153
2812,"Muizen",51.0111,4.5143
